timestamp	ch1	ch2	ch3
00:00:00.000	1.189744	1.271062	1.284982
00:00:00.004	1.251282	1.280586	1.227106
00:00:00.004	1.276190	1.307692	1.280586
00:00:00.004	1.304762	1.306227	1.304029
00:00:00.004	1.312088	1.306960	1.329670
00:00:00.004	1.402930	1.292308	1.300366
00:00:00.004	1.487179	1.299634	1.264469
00:00:00.004	1.376557	1.299634	1.329670
00:00:00.004	1.313553	1.303297	1.351648
00:00:00.004	1.299634	1.313553	1.320147
00:00:00.004	1.299634	1.306960	1.312088
00:00:00.004	1.313553	1.312088	1.320879
00:00:00.005	1.306227	1.309890	1.312088
00:00:00.005	1.319414	1.317216	1.287912
00:00:00.005	1.276923	1.315018	1.271795
00:00:00.006	1.271795	1.320879	1.252747
00:00:00.006	1.283516	1.306960	1.290842
00:00:00.006	1.280586	1.297436	1.322344
00:00:00.007	1.358974	1.297436	1.328938
00:00:00.007	1.323077	1.301832	1.334799
00:00:00.007	1.357509	1.282784	1.338462
00:00:00.008	1.372161	1.279853	1.336264
00:00:00.008	1.282051	1.272527	1.268864
00:00:00.008	1.222711	1.288645	1.254945
00:00:00.009	1.304029	1.318681	1.307692
00:00:00.009	1.350916	1.345055	1.321612
00:00:00.010	1.331136	1.338462	1.317949
00:00:00.010	1.294505	1.309890	1.310623
00:00:00.010	1.306227	1.289377	1.307692
00:00:00.011	1.299634	1.264469	1.315751
00:00:00.011	1.303297	1.269597	1.314286
00:00:00.011	1.296703	1.312088	1.312821
00:00:00.012	1.305495	1.366300	1.305495
00:00:00.013	1.303297	1.356777	1.308425
00:00:00.013	1.296703	1.327473	1.306960
00:00:00.013	1.306227	1.307692	1.312088
00:00:00.013	1.327473	1.305495	1.300366
00:00:00.013	1.329670	1.297436	1.304029
00:00:00.014	1.325275	1.300366	1.311355
00:00:00.014	1.320879	1.299634	1.312088
00:00:00.015	1.321612	1.257143	1.306960
00:00:00.015	1.312821	1.218315	1.306227
00:00:00.015	1.306227	1.276190	1.304029
00:00:00.016	1.306227	1.332601	1.308425
00:00:00.016	1.304029	1.356777	1.302564
00:00:00.016	1.299634	1.342857	1.306960
00:00:00.017	1.307692	1.338462	1.307692
00:00:00.017	1.312821	1.347253	1.310623
00:00:00.017	1.310623	1.370696	1.311355
00:00:00.018	1.312821	1.352381	1.306960
00:00:00.050	1.307692	1.334066	1.310623
00:00:00.050	1.312821	1.306960	1.310623
00:00:00.051	1.308425	1.282784	1.294505
00:00:00.051	1.326740	1.267399	1.306227
00:00:00.051	1.318681	1.261538	1.300366
00:00:00.052	1.319414	1.282051	1.304029
00:00:00.052	1.299634	1.283516	1.309890
00:00:00.052	1.304762	1.271795	1.304029
00:00:00.053	1.309158	1.279121	1.309890
00:00:00.053	1.312088	1.297436	1.307692
00:00:00.054	1.303297	1.307692	1.295238
00:00:00.054	1.308425	1.347985	1.311355
00:00:00.054	1.303297	1.349451	1.298168
00:00:00.055	1.299634	1.352381	1.305495
00:00:00.055	1.309158	1.333333	1.306960
00:00:00.055	1.315751	1.301099	1.307692
00:00:00.056	1.309158	1.301832	1.309890
00:00:00.056	1.312821	1.298901	1.304029
00:00:00.056	1.306227	1.296703	1.300366
00:00:00.057	1.323077	1.290110	1.302564
00:00:00.057	1.317949	1.276923	1.293773
00:00:00.057	1.319414	1.284249	1.306227
00:00:00.058	1.328938	1.274725	1.306227
00:00:00.058	1.270330	1.260806	1.303297
00:00:00.059	1.287912	1.268132	1.302564
00:00:00.059	1.323077	1.306960	1.311355
00:00:00.059	1.312821	1.309158	1.302564
00:00:00.063	1.309890	1.317949	1.306960
00:00:00.063	1.304762	1.314286	1.305495
00:00:00.063	1.291575	1.306227	1.298168
00:00:00.063	1.291575	1.304029	1.300366
00:00:00.063	1.309890	1.313553	1.308425
00:00:00.063	1.311355	1.320147	1.307692
00:00:00.063	1.315018	1.320879	1.304762
00:00:00.063	1.315751	1.327473	1.306960
00:00:00.064	1.315751	1.332601	1.309890
00:00:00.064	1.306227	1.323077	1.293040
00:00:00.064	1.320147	1.323077	1.304762
00:00:00.064	1.312821	1.273993	1.303297
00:00:00.065	1.319414	1.277656	1.297436
00:00:00.065	1.325275	1.312088	1.316484
00:00:00.065	1.325275	1.311355	1.314286
00:00:00.065	1.311355	1.301832	1.308425
00:00:00.068	1.315751	1.315751	1.309890
00:00:00.068	1.302564	1.307692	1.291575
00:00:00.068	1.301099	1.295238	1.300366
00:00:00.068	1.304029	1.292308	1.306227
00:00:00.068	1.297436	1.297436	1.309158
00:00:00.068	1.307692	1.305495	1.304762
00:00:00.068	1.301099	1.302564	1.306960
00:00:00.100	1.311355	1.305495	1.306960
00:00:00.100	1.315018	1.312821	1.312088
00:00:00.100	1.323077	1.318681	1.314286
